qualità;Titolo;Prezzo;Vitigno;Alcol_x;Categoria;DOC_DOCG;Anno;Colore;PH;Accidità;Alcol_y;Babo;ph_1;babo_1;alchol1;acidita1;ph_2;babo_2;alchol2;acidita2;ph_3;babo_3;alchol3;acidita3;ZONA VITICOLA;N. Vignetti campione;Classe;Data Racolta;Um.Med (%);Temp Med (°C);Precipitazioni(mm);Bagnatura fogliare(min)
95;Villa Guelpa 2017 Nebbiolo (Sizzano);50;NEBBIOLO;13.5;Rosso;Sizzano;2017;Rosso;3.18;7.78;13.7;19.8;2.97;16.8;11.2;10.2;3.06;18.9;12.9;9.2;3.14;19.6;13.5;7.3;COLLINE NOVARESI;5.0;ECCELLENTE;19/09/2017;63.0;19.0;2.0;401.0
95;Ugo Lequio 2017 Gallina (Barbaresco);60;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
93;Musso 2017 Pora (Barbaresco);40;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
97;Cascina delle Rose 2017 Rio Sordo (Barbaresco);60;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
96;Sottimano 2017 Pajorè (Barbaresco);75;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
96;Nada Giuseppe 2017 Casot (Barbaresco);40;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
96;Rizzi 2017 Pajorè (Barbaresco);65;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
96;Castello di Neive 2017 Albesani Santo Stefano (Barbaresco);40;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Rizzi 2017 Nervo (Barbaresco);65;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Giuseppe Cortese 2017 Rabajà (Barbaresco);65;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Michele Chiarlo 2017 Asili (Barbaresco);90;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Rizzi 2017 Rizzi (Barbaresco);43;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;San Biagio 2017 Montersino (Barbaresco);70;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Cascina delle Rose 2017 Tre Stelle (Barbaresco);60;NEBBIOLO;24.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Francesco Versio 2017 Barbaresco;50;NEBBIOLO;14.5;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Poderi Colla 2017 Roncaglie (Barbaresco);68;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Gaja 2017 Barbaresco;250;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
95;Sottimano 2017 Cottà (Barbaresco);75;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
94;Michele Chiarlo 2017 Faset (Barbaresco);90;NEBBIOLO;14.0;Rosso;Barbaresco;2017;Rosso;3.2;6.26;14.7;21.2;3.1;20.7;14.4;7.4;3.18;21.0;14.6;6.4;3.2;21.1;14.7;6.3;Langhe;8.0;ECCELLENTE;20/09/2017;74.0;22.0;1.0;129.0
