Heady aromas of white rose and apricot practically jump out of the glass. Dry and linear, the crisp palate offers unripe yellow peach and lemon zest alongside a note of crushed Mediterranean herb. Brisk acidity gives it a vibrant edge. KERIN O’KEEFE;87;Gorghi Tondi 2018 Rajah Biologico Zibibbo (Sicilia);$24;Rajah Biologico;Zibibbo, Muscat;Sicilia, Sicily & Sardinia, Italy;Gorghi Tondi;KERIN O’KEEFE;13%;750 ml;White;Sheehan Brothers;3/1/2020
The rather subdued nose has aromas of yellow stone fruit and a hint of hazelnut. The aromas carry over to the palate along with white almond, a hint of peach and tangy acidity. KERIN O’KEEFE;87;Nuraghe Crabioni 2018 Kanimar (Vermentino di Sardegna);$25;Kanimar;Vermentino, Italian White;Vermentino di Sardegna, Sicily & Sardinia, Italy;Nuraghe Crabioni;KERIN O’KEEFE;13.5%;750 ml;White;Vias Imports;3/1/2020
This deeply hued wine has aromas of acacia honey, dried apricot and grilled Mediterranean herb. The linear, lean palate offers lemon drop, pineapple and honeyed notes before a bitter walnut close. KERIN O’KEEFE;87;San Bartolo 2016 White (Terre Siciliane);N/A;;White Blend;Terre Siciliane, Sicily & Sardinia, Italy;San Bartolo;KERIN O’KEEFE;11.5%;750 ml;White;1_No Submitting Co;3/1/2020
Aromas of fragrant spring flower and exotic fruit make their way front and center. The crisp palate offers pineapple, honeydew melon and lemon zest alongside brisk acidity. KERIN O’KEEFE;87;Tenuta Marchisio 2018 Falanghina (Campania);$15;;Falanghina, Italian White;Campania, Southern Italy, Italy;Tenuta Marchisio;KERIN O’KEEFE;13.5%;750 ml;White;Siena Imports;3/1/2020
A blend of Fiano, Moscato and Falanghina, this has aromas of yellow stone fruit, citrus and Mediterranean brush. The aromas carry on to the bright palate alongside crisp acidity. KERIN O’KEEFE;87;Casa di Baal 2018 White (Colli di Salerno);N/A;;White Blend;Colli di Salerno, Southern Italy, Italy;Casa di Baal;KERIN O’KEEFE;12%;750 ml;White;Mucci Imports;3/1/2020
Fragrant spring flower and exotic fruit aromas lead the nose. On the rounded, fruity palate, tangy acidity accompanies banana, pineapple and honeydew melon. KERIN O’KEEFE;87;F.lli Puddu 2018 Gioas Su Sole White (Isola dei Nuraghi);$22;Gioas Su Sole;White Blend;Isola dei Nuraghi, Sicily & Sardinia, Italy;F.lli Puddu;KERIN O’KEEFE;13%;750 ml;White;Enotria Wine Import;3/1/2020
Aromas of leather, camphor and underbrush follow over to the palate together with notes of salted game and dried cherry. Firm acidity and tight close-grained tannins leave an austere, rather astringent finish. KERIN O’KEEFE;87;Il Chiosso 2016 Fara;$28;;Nebbiolo;Fara, Piedmont, Italy;Il Chiosso;KERIN O’KEEFE;13%;750 ml;Red;Vias Imports;3/1/2020
This Frappato has aromas of candied berry and white pepper. The aromas carry over to the light-bodied palate along with soft tannins. Drink soon. KERIN O’KEEFE;87;Tenuta Bastonaca 2017 Frappato (Terre Siciliane);$22;;Frappato, Italian Red;Terre Siciliane, Sicily & Sardinia, Italy;Tenuta Bastonaca;KERIN O’KEEFE;12.5%;750 ml;Red;Florio Imports;3/1/2020
This has an extremely shy nose that eventually reveals subtle whiffs of Spanish broom and ripe white stone fruit. The round palate is also understated and subdued, offering delicate notes suggesting mature yellow apple, bitter almond a honeyed note. KERIN O’KEEFE;87;Cantine Olivella 2017 Lacrimabianco White (Lacryma Christi del Vesuvio);$19;Lacrimabianco;White Blend;Lacryma Christi del Vesuvio, Southern Italy, Italy;Cantine Olivella;KERIN O’KEEFE;13%;750 ml;White;Panebianco;3/1/2020
Aromas suggesting spring blossom, mature yellow pear and grilled herb shape the nose. The aromas carry over to the rounded, rather evolved palate along with notes of citrus zest and a hint of tangy saline. KERIN O’KEEFE;87;Claudio Quarta 2017 Greco di Tufo;$23;;Greco, Italian White;Greco di Tufo, Southern Italy, Italy;Claudio Quarta;KERIN O’KEEFE;13.5%;750 ml;White;Enotec Imports, Inc;3/1/2020
Made with organically farmed Nero d'Avola and Frappato grapes, this opens with aromas of dark-skinned berry and cooking spice. The supple palate offers blackberry jam, toast and mocha. Drink through 2021. KERIN O’KEEFE;87;Cortese 2017 Classico Sabuci (Cerasuolo di Vittoria);$25;Classico Sabuci;Red Blends, Red Blends;Cerasuolo di Vittoria, Sicily & Sardinia, Italy;Cortese;KERIN O’KEEFE;13.5%;750 ml;Red;Saranty Imports;3/1/2020
Red berry, vineyard dust and a whiff of carob shape the nose. On the enjoyable palate, orange zest and saline accompany blueberry jam and lemon thyme alongside tangy acidity. KERIN O’KEEFE;87;Curto 2018 Rosato EOS Nero d'Avola (Eloro);$13;Rosato EOS;Nero d'Avola, Italian Red;Eloro, Sicily & Sardinia, Italy;Curto;KERIN O’KEEFE;12%;750 ml;Red;Premium Brands;3/1/2020
Made with organically grown Nero d'Avola, this opens with aromas of roasted coffee bean, toasted oak and ripe dark-skinned berry. The assertive palate offers blackberry jam, mocha and toasted oak alongside close-grained tannins. KERIN O’KEEFE;87;Feudo di Santa Tresa 2016 Avulisi Nero d'Avola (Terre Siciliane);$30;Avulisi;Nero d'Avola, Italian Red;Terre Siciliane, Sicily & Sardinia, Italy;Feudo di Santa Tresa;KERIN O’KEEFE;13.5%;750 ml;Red;Vias Imports;3/1/2020
Savory and bright, this has delicate aromas suggesting white spring flower, tropical fruit and white stone fruit. The tangy, refreshing palate offers pear, honeydew melon and citrus alongside crisp acidity. KERIN O’KEEFE;87;Fina 2018 Kebrilla Grillo (Sicilia);$15;Kebrilla;Grillo, Italian White;Sicilia, Sicily & Sardinia, Italy;Fina;KERIN O’KEEFE;13%;750 ml;White;Solstars;3/1/2020
Subtle aromas suggesting tilled earth, leather and underbrush form the nose along with a whiff of eucalyptus. On the somewhat lean palate, you'll find truffle, prune and dried sage alongside brisk acidity and dusty, drying tannins that leave a rather drying finish. Drink sooner rather than later. KERIN O’KEEFE;87;Il Chiosso 2010 Ghemme;$30;;Red Blends, Red Blends;Ghemme, Piedmont, Italy;Il Chiosso;KERIN O’KEEFE;13%;750 ml;Red;Vias Imports;3/1/2020
Balsamic aromas of camphor, worn leather and dried rose lead the nose. On the straightforward palate, lithe tannins lightly support dried cherry, orange zest and a hint of anise. KERIN O’KEEFE;87;Il Chiosso 2011 Red (Colline Novaresi);$25;;Red Blends, Red Blends;Colline Novaresi, Piedmont, Italy;Il Chiosso;KERIN O’KEEFE;13%;750 ml;Red;Vias Imports;3/1/2020
Delicate scents suggesting field flower, white stone fruit and citrus slowly appear on this. It's racy and linear, offering Meyer lemon, pineapple and saline alongside racy acidity. KERIN O’KEEFE;87;La Guardiense 2018 Janare Greco (Sannio);$15;Janare;Greco, Italian White;Sannio, Southern Italy, Italy;La Guardiense;KERIN O’KEEFE;13.5%;750 ml;White;Monsieur Touton Selection Ltd;3/1/2020
The shy nose slowly reveals Mediterranean scrub, citrus and a whiff of Spanish broom. The aromas give way to the linear palate offering sour cherry, citrus and a fennel note alongside fresh acidity. KERIN O’KEEFE;87;Palmento Costanzo 2018 Mofete Rosato (Etna);N/A;Mofete;Rosato, Rosé;Etna, Sicily & Sardinia, Italy;Palmento Costanzo;KERIN O’KEEFE;12.5%;750 ml;Rose;Artisanal Cellars;3/1/2020
Aromas of yellow peach and pineapple carry over to the bright, racy palate along with a note of white almond. Vibrant acidity gives it a crisp, clean close. KERIN O’KEEFE;87;Tenuta Cavalier Pepe 2018 Bianco di Bellonona Coda di Volpe (Irpinia);$15;Bianco di Bellonona;Coda di Volpe, Italian White;Irpinia, Southern Italy, Italy;Tenuta Cavalier Pepe;KERIN O’KEEFE;13%;750 ml;White;Alberello Imports;3/1/2020
Intense aromas of orange blossom and pressed flower evoking room freshener jump out of the glass. On the syrupy, rather one-dimensional palate, you'll honey and candied notes. KERIN O’KEEFE;87;Colosi 2015 Passito Na'jm Malvar (Salina);N/A;Passito Na'jm;Malvar, Spanish White;Salina, Sicily & Sardinia, Italy;Colosi;KERIN O’KEEFE;13%;750 ml;Dessert;Vias Imports;3/1/2020
