Made with organically farmed grapes and packaged in an extremely heavy bottle, this has aromas of tropical fruit and green apple. On the racy, rather lean palate, crisp acidity accompanies suggestions of green melon, Granny Smith apple and a hint of citrus. KERIN O’KEEFE;87;Monte Zovo 2019 Wolhlgemuth Pinot Grigio (Delle Venezie);$17;Wolhlgemuth;Pinot Grigio;Delle Venezie, Northeastern Italy, Italy;Monte Zovo;KERIN O’KEEFE;13%;750 ml;White;Monte Zovo USA;10/1/2020
This natural-leaning wine is a bit dichotomous. The nose starts off on rich aromas of citrus oil, drawn butter, smoke and walnut skin, while the palate is more tense and mineral driven. Crushed stone and steely lemon flavors are energetic and lifted, while drying tannins lend grip. ALEXANDER PEARTREE;87;Valentina Passalacqua 2018 Bombino (Puglia);$28;;Bombino, Italian White;Puglia, Southern Italy, Italy;Valentina Passalacqua;ALEXANDER PEARTREE;11%;750 ml;White;1_No Submitting Co;10/1/2020
This has aromas of honeysuckle and tropical fruit with a whiff of hay. On the rounded palate, tangy acidity accompanies passion fruit and banana before closing on a note of bitter almond. KERIN O’KEEFE;87;Villabella 2019 Lugana;N/A;;Turbiana, Italian White;Lugana, Lombardy, Italy;Villabella;KERIN O’KEEFE;12.5%;750 ml;White;Lentino Imports;10/1/2020
Zesty aromas of peppery spice and tomato vine meld with creamy melon on the nose. The rounded palate brings flavors of banana, melon and orange that are initially lifted and pure but end a bit short. ALEXANDER PEARTREE;87;Tormaresca 2019 Calafuria Rosato (Salento);$15;Calafuria;Rosato, Rosé;Salento, Southern Italy, Italy;Tormaresca;ALEXANDER PEARTREE;12%;750 ml;Rose;Ste. Michelle Wine Estates;10/1/2020
Lightly scented, the nose evokes tropical fruit and elderflower. It's linear and light-bodied, suggesting honeydew and white peach alongside racy acidity. KERIN O’KEEFE;87;Cantina Produttori di Cormons 2019 Sauvignon (Collio);N/A;;Sauvignon, Sauvignon Blanc;Collio, Northeastern Italy, Italy;Cantina Produttori di Cormons;KERIN O’KEEFE;13%;750 ml;White;1_No Submitting Co;10/1/2020
Aromas of coconut and French oak carry over to the assertive, austere palate along with unripe cranberry, espresso and licorice. It doesn't have enough fruit richness to stand up to the aggressive, grainy tannins that clench the astringent finish. KERIN O’KEEFE;87;Gianni Gagliardo 2016 Mosconi (Barolo);$113;Mosconi;Nebbiolo;Barolo, Piedmont, Italy;Gianni Gagliardo;KERIN O’KEEFE;14.5%;750 ml;Red;Enotec Imports, Inc;10/1/2020
Blue flower, baked plum and oak-driven spice aromas lift out of the glass. On the one-dimensional palate, solid but rather fleeting tannins accompany prune and ground clove. KERIN O’KEEFE;87;La Vedetta 2017 Cà Grossa (Barbaresco);$76;Cà Grossa;Nebbiolo;Barbaresco, Piedmont, Italy;La Vedetta;KERIN O’KEEFE;14.5%;750 ml;Red;Five Star Fine Products;10/1/2020
A warm spice tone reminiscent of Chinese five-spice powder is ensconced in the ripe cherry and blackberry tones of this wine. It's smooth and silken on the palate, with creamy berry flavors that are lifted by zesty acidity. Well-mannered tannins support it all, giving this a vibe that will appeal to many. ALEXANDER PEARTREE;87;Castello Monaci 2018 Pilùna Primitivo (Salento);$15;Pilùna;Primitivo, Zinfandel;Salento, Southern Italy, Italy;Castello Monaci;ALEXANDER PEARTREE;14%;750 ml;Red;Frederick Wildman & Sons, Ltd;10/1/2020
Aromas of honeysuckle and white stone fruit waft out of the glass. The fresh, tangy palate offers mature white peach and honeydew before closing on a note of bitter almond. KERIN O’KEEFE;87;Lenotti 2019 Soave Classico;$13;;Garganega, Italian White;Soave Classico, Veneto, Italy;Lenotti;KERIN O’KEEFE;12.5%;750 ml;White;Giuliana Imports;10/1/2020
This has subdued aromas suggesting stewed prune and leather with a whiff of sunbaked soil. Reflecting the aromas, the evolved palate appears tired, suggesting prune and dark spice set against grainy tannins that leave a lean, drying finish. KERIN O’KEEFE;87;Montaribaldi 2017 Sorì Montaribaldi (Barbaresco);$30;Sorì Montaribaldi;Nebbiolo;Barbaresco, Piedmont, Italy;Montaribaldi;KERIN O’KEEFE;14%;750 ml;Red;Shiverick Imports;10/1/2020
